question_id,db_id,question,gold_sql,JOIN,GROUP_BY,HAVING,categories,category_signature,parse_error
200,toxicology,Find the triple-bonded molecules which are carcinogenic.,SELECT DISTINCT T2.molecule_id FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '#' AND T2.label = '+',True,False,False,['JOIN'],JOIN,
201,toxicology,What is the percentage of carbon in double-bond molecules?,SELECT CAST(COUNT(DISTINCT CASE WHEN T1.element = 'c' THEN T1.atom_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T1.atom_id) FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.bond_type = '=',True,False,False,['JOIN'],JOIN,
202,toxicology,How many triple type bonds are there?,SELECT COUNT(T.bond_id) FROM bond AS T WHERE T.bond_type = '#',False,False,False,[],NONE,
203,toxicology,In how many atoms is there no bromine?,SELECT COUNT(DISTINCT T.atom_id) FROM atom AS T WHERE T.element <> 'br',False,False,False,[],NONE,
204,toxicology,"Of the first 100 molecules in number order, how many are carcinogenic?",SELECT COUNT(T.molecule_id) FROM molecule AS T WHERE molecule_id BETWEEN 'TR000' AND 'TR099' AND T.label = '+',False,False,False,[],NONE,
205,toxicology,Identify by their ID the molecules in which there is carbon.,SELECT T.molecule_id FROM atom AS T WHERE T.element = 'c',False,False,False,[],NONE,
206,toxicology,What elements are in the TR004_8_9 bond atoms?,SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id = 'TR004_8_9',True,False,False,['JOIN'],JOIN,
207,toxicology,What elements are in a double type bond?,SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN connected AS T3 ON T1.atom_id = T3.atom_id WHERE T2.bond_type = '=',True,False,False,['JOIN'],JOIN,
208,toxicology,Which type of label is the most numerous in atoms with hydrogen?,"SELECT T.label FROM ( SELECT T2.label, COUNT(T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 'h' GROUP BY T2.label ORDER BY COUNT(T2.molecule_id) DESC LIMIT 1 ) t",True,True,False,"['JOIN', 'GROUP_BY']",JOIN+GROUP_BY,
209,toxicology,Chlorine is in what type of bond?,SELECT DISTINCT T1.bond_type FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id INNER JOIN atom AS T3 ON T2.atom_id = T3.atom_id WHERE T3.element = 'cl',True,False,False,['JOIN'],JOIN,
210,toxicology,What atoms are connected in single type bonds?,"SELECT T2.atom_id, T2.atom_id2 FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T1.bond_type = '-'",True,False,False,['JOIN'],JOIN,
211,toxicology,Indicate which atoms are connected in non-carcinogenic type molecules.,SELECT DISTINCT T1.atom_id FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN connected AS T3 ON T1.atom_id = T3.atom_id WHERE T2.label = '-',True,False,False,['JOIN'],JOIN,
212,toxicology,Which element is the least numerous in non-carcinogenic molecules?,"SELECT T.element FROM (SELECT T1.element, COUNT(DISTINCT T1.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '-' GROUP BY T1.element ORDER BY COUNT(DISTINCT T1.molecule_id) ASC LIMIT 1) t",True,True,False,"['JOIN', 'GROUP_BY']",JOIN+GROUP_BY,
213,toxicology,What type of bond is there between the atoms TR004_8 and TR004_20?,SELECT T1.bond_type FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T2.atom_id = 'TR004_8' AND T2.atom_id2 = 'TR004_20' OR T2.atom_id2 = 'TR004_8' AND T2.atom_id = 'TR004_20',True,False,False,['JOIN'],JOIN,
214,toxicology,What type of label is not on molecules with atoms with tin?,SELECT DISTINCT T2.label FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element != 'sn',True,False,False,['JOIN'],JOIN,
215,toxicology,How many atoms with iodine and with sulfur type elements are there in single bond molecules?,"SELECT COUNT(DISTINCT CASE WHEN T1.element = 'i' THEN T1.atom_id ELSE NULL END) AS iodine_nums , COUNT(DISTINCT CASE WHEN T1.element = 's' THEN T1.atom_id ELSE NULL END) AS sulfur_nums FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id INNER JOIN bond AS T3 ON T2.bond_id = T3.bond_id WHERE T3.bond_type = '-'",True,False,False,['JOIN'],JOIN,
216,toxicology,Identify all connected atoms with a triple bond.,"SELECT T2.atom_id, T2.atom_id2 FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T1.bond_type = '#'",True,False,False,['JOIN'],JOIN,
217,toxicology,Identify all the atoms that are connected to the atoms of the TR181 molecule.,"SELECT T2.atom_id, T2.atom_id2 FROM atom AS T1 INNER JOIN connected AS T2 ON T2.atom_id = T1.atom_id WHERE T1.molecule_id = 'TR181'",True,False,False,['JOIN'],JOIN,
218,toxicology,What percentage of carcinogenic-type molecules does not contain fluorine?,SELECT CAST(COUNT(DISTINCT CASE WHEN T1.element <> 'f' THEN T2.molecule_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+',True,False,False,['JOIN'],JOIN,
219,toxicology,What is the percentage of carcinogenic molecules in triple type bonds?,SELECT CAST(COUNT(DISTINCT CASE WHEN T2.label = '+' THEN T2.molecule_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T3.bond_type = '#',True,False,False,['JOIN'],JOIN,
220,toxicology,Please list top three elements of the toxicology of the molecule TR000 in alphabetical order.,SELECT DISTINCT T.element FROM atom AS T WHERE T.molecule_id = 'TR000' ORDER BY T.element LIMIT 3,False,False,False,[],NONE,
221,toxicology,What are the atoms that are bonded in the molecule TR001 with the bond ID of TR001_2_6?,"SELECT SUBSTR(T.bond_id, 1, 7) AS atom_id1 , T.molecule_id || SUBSTR(T.bond_id, 8, 2) AS atom_id2 FROM bond AS T WHERE T.molecule_id = 'TR001' AND T.bond_id = 'TR001_2_6'",False,False,False,[],NONE,
222,toxicology,What is the difference between the number of molecules that are carcinogenic and those that are not?,SELECT COUNT(CASE WHEN T.label = '+' THEN T.molecule_id ELSE NULL END) - COUNT(CASE WHEN T.label = '-' THEN T.molecule_id ELSE NULL END) AS diff_car_notcar FROM molecule t,False,False,False,[],NONE,
223,toxicology,What are the atom IDs of the bond TR000_2_5?,SELECT T.atom_id FROM connected AS T WHERE T.bond_id = 'TR000_2_5',False,False,False,[],NONE,
224,toxicology,What are the bond IDs that have the same atom ID 2 of TR000_2?,SELECT T.bond_id FROM connected AS T WHERE T.atom_id2 = 'TR000_2',False,False,False,[],NONE,
225,toxicology,Please list top five molecules that have double bonds in alphabetical order.,SELECT DISTINCT T.molecule_id FROM bond AS T WHERE T.bond_type = '=' ORDER BY T.molecule_id LIMIT 5,False,False,False,[],NONE,
226,toxicology,What is the percentage of double bonds in the molecule TR008? Please provide your answer as a percentage with five decimal places.,"SELECT ROUND(CAST(COUNT(CASE WHEN T.bond_type = '=' THEN T.bond_id ELSE NULL END) AS REAL) * 100 / COUNT(T.bond_id),5) FROM bond AS T WHERE T.molecule_id = 'TR008'",False,False,False,[],NONE,
227,toxicology,What is the percentage of molecules that are carcinogenic? Please provide your answer as a percentage with three decimal places.,"SELECT ROUND(CAST(COUNT(CASE WHEN T.label = '+' THEN T.molecule_id ELSE NULL END) AS REAL) * 100 / COUNT(T.molecule_id),3) FROM molecule t",False,False,False,[],NONE,
228,toxicology,How much of the hydrogen in molecule TR206 is accounted for? Please provide your answer as a percentage with four decimal places.,"SELECT ROUND(CAST(COUNT(CASE WHEN T.element = 'h' THEN T.atom_id ELSE NULL END) AS REAL) * 100 / COUNT(T.atom_id),4) FROM atom AS T WHERE T.molecule_id = 'TR206'",False,False,False,[],NONE,
229,toxicology,What is the type of bond that molecule TR000 has when involved in any bonds?,SELECT DISTINCT T.bond_type FROM bond AS T WHERE T.molecule_id = 'TR000',False,False,False,[],NONE,
230,toxicology,What are the elements of the toxicology and label of molecule TR060?,"SELECT DISTINCT T1.element, T2.label FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.molecule_id = 'TR060'",True,False,False,['JOIN'],JOIN,
231,toxicology,Which bond type accounted for the majority of the bonds found in molecule TR010 and state whether or not this molecule is carcinogenic?,"SELECT T.bond_type FROM ( SELECT T1.bond_type, COUNT(T1.molecule_id) FROM bond AS T1  WHERE T1.molecule_id = 'TR010' GROUP BY T1.bond_type ORDER BY COUNT(T1.molecule_id) DESC LIMIT 1 ) AS T",False,True,False,['GROUP_BY'],GROUP_BY,
232,toxicology,Please list top three molecules that have single bonds between two atoms and are not carcinogenic in alphabetical order.,SELECT DISTINCT T2.molecule_id FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '-' AND T2.label = '-' ORDER BY T2.molecule_id LIMIT 3,True,False,False,['JOIN'],JOIN,
233,toxicology,Please list top two bonds that happened with the molecule TR006 in alphabetical order.,SELECT DISTINCT T2.bond_id FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T1.molecule_id = 'TR006' ORDER BY T2.bond_id LIMIT 2,True,False,False,['JOIN'],JOIN,
234,toxicology,How many bonds which involved atom 12 does molecule TR009 have?,SELECT COUNT(T2.bond_id) FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T1.molecule_id = 'TR009' AND T2.atom_id = T1.molecule_id || '_1' AND T2.atom_id2 = T1.molecule_id || '_2',True,False,False,['JOIN'],JOIN,
235,toxicology,How many molecules are carcinogenic and have the bromine element?,SELECT COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND T1.element = 'br',True,False,False,['JOIN'],JOIN,
236,toxicology,What are the bond type and the atoms of the bond ID of TR001_6_9?,"SELECT T1.bond_type, T2.atom_id, T2.atom_id2 FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T2.bond_id = 'TR001_6_9'",True,False,False,['JOIN'],JOIN,
237,toxicology,Which molecule does the atom TR001_10 belong to? Please state whether this molecule is carcinogenic or not.,"SELECT T2.molecule_id , IIF(T2.label = '+', 'YES', 'NO') AS flag_carcinogenic FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.atom_id = 'TR001_10'",True,False,False,['JOIN'],JOIN,
238,toxicology,How many molecules have a triple bond type?,SELECT COUNT(DISTINCT T.molecule_id) FROM bond AS T WHERE T.bond_type = '#',False,False,False,[],NONE,
239,toxicology,How many connections does the atom 19 have?,"SELECT COUNT(T.bond_id) FROM connected AS T WHERE SUBSTR(T.atom_id, -2) = '19'",False,False,False,[],NONE,
240,toxicology,"List all the elements of the toxicology of the molecule ""TR004"".",SELECT DISTINCT T.element FROM atom AS T WHERE T.molecule_id = 'TR004',False,False,False,[],NONE,
241,toxicology,How many of the molecules are not carcinogenic?,SELECT COUNT(T.molecule_id) FROM molecule AS T WHERE T.label = '-',False,False,False,[],NONE,
242,toxicology,"Among all the atoms from 21 to 25, list all the molecules that are carcinogenic.","SELECT DISTINCT T2.molecule_id FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE SUBSTR(T1.atom_id, -2) BETWEEN '21' AND '25' AND T2.label = '+'",True,False,False,['JOIN'],JOIN,
243,toxicology,What are the bonds that have phosphorus and nitrogen as their atom elements?,SELECT T2.bond_id FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id IN ( SELECT T3.bond_id FROM connected AS T3 INNER JOIN atom AS T4 ON T3.atom_id = T4.atom_id WHERE T4.element = 'p' ) AND T1.element = 'n',True,False,False,['JOIN'],JOIN,
244,toxicology,Is the molecule with the most double bonds carcinogenic?,"SELECT T1.label FROM molecule AS T1 INNER JOIN ( SELECT T.molecule_id, COUNT(T.bond_type) FROM bond AS T WHERE T.bond_type = '=' GROUP BY T.molecule_id ORDER BY COUNT(T.bond_type) DESC LIMIT 1 ) AS T2 ON T1.molecule_id = T2.molecule_id",True,True,False,"['JOIN', 'GROUP_BY']",JOIN+GROUP_BY,
245,toxicology,What is the average number of bonds the atoms with the element iodine have?,SELECT CAST(COUNT(T2.bond_id) AS REAL) / COUNT(T1.atom_id) FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T1.element = 'i',True,False,False,['JOIN'],JOIN,
246,toxicology,List the bond type and the bond ID of the atom 45.,"SELECT T1.bond_type, T1.bond_id FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE SUBSTR(T2.atom_id, 7, 2) = '45'",True,False,False,['JOIN'],JOIN,
247,toxicology,List all the elements of atoms that can not bond with any other atoms.,SELECT DISTINCT T.element FROM atom AS T WHERE T.element NOT IN ( SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id ),True,False,False,['JOIN'],JOIN,
248,toxicology,"What are the atoms of the triple bond with the molecule ""TR041""?","SELECT T2.atom_id, T2.atom_id2 FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id INNER JOIN bond AS T3 ON T2.bond_id = T3.bond_id WHERE T3.bond_type = '#' AND T3.molecule_id = 'TR041'",True,False,False,['JOIN'],JOIN,
249,toxicology,What are the elements of the atoms of TR144_8_19?,SELECT T2.element FROM connected AS T1 INNER JOIN atom AS T2 ON T1.atom_id = T2.atom_id WHERE T1.bond_id = 'TR144_8_19',True,False,False,['JOIN'],JOIN,
250,toxicology,"Of all the carcinogenic molecules, which one has the most double bonds?","SELECT T.molecule_id FROM ( SELECT T3.molecule_id, COUNT(T1.bond_type) FROM bond AS T1 INNER JOIN molecule AS T3 ON T1.molecule_id = T3.molecule_id WHERE T3.label = '+' AND T1.bond_type = '=' GROUP BY T3.molecule_id ORDER BY COUNT(T1.bond_type) DESC LIMIT 1 ) AS T",True,True,False,"['JOIN', 'GROUP_BY']",JOIN+GROUP_BY,
251,toxicology,What is the least common element of all carcinogenic molecules?,"SELECT T.element FROM ( SELECT T2.element, COUNT(DISTINCT T2.molecule_id) FROM molecule AS T1 INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.label = '+' GROUP BY T2.element ORDER BY COUNT(DISTINCT T2.molecule_id) LIMIT 1 ) t",True,True,False,"['JOIN', 'GROUP_BY']",JOIN+GROUP_BY,
252,toxicology,What are the atoms that can bond with the atom that has the element lead?,"SELECT T2.atom_id, T2.atom_id2 FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T1.element = 'pb'",True,False,False,['JOIN'],JOIN,
253,toxicology,List the elements of all the triple bonds.,SELECT DISTINCT T3.element FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id INNER JOIN atom AS T3 ON T2.atom_id = T3.atom_id WHERE T1.bond_type = '#',True,False,False,['JOIN'],JOIN,
254,toxicology,What percentage of bonds have the most common combination of atoms' elements?,SELECT CAST((SELECT COUNT(T1.atom_id) FROM connected AS T1 INNER JOIN bond AS T2 ON T1.bond_id = T2.bond_id GROUP BY T2.bond_type ORDER BY COUNT(T2.bond_id) DESC LIMIT 1 ) AS REAL) * 100 / ( SELECT COUNT(atom_id) FROM connected ),True,True,False,"['JOIN', 'GROUP_BY']",JOIN+GROUP_BY,
255,toxicology,What proportion of single bonds are carcinogenic? Please provide your answer as a percentage with five decimal places.,"SELECT ROUND(CAST(COUNT(CASE WHEN T2.label = '+' THEN T1.bond_id ELSE NULL END) AS REAL) * 100 / COUNT(T1.bond_id),5) FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '-'",True,False,False,['JOIN'],JOIN,
256,toxicology,Calculate the total atoms consisting of the element carbon and hydrogen.,SELECT COUNT(T.atom_id) FROM atom AS T WHERE T.element = 'c' OR T.element = 'h',False,False,False,[],NONE,
257,toxicology,List down atom id2 for atoms with element sulfur.,SELECT DISTINCT T2.atom_id2 FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T1.element = 's',True,False,False,['JOIN'],JOIN,
258,toxicology,What are the bond type for atoms with element Tin?,SELECT DISTINCT T3.bond_type FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id INNER JOIN bond AS T3 ON T3.bond_id = T2.bond_id WHERE T1.element = 'sn',True,False,False,['JOIN'],JOIN,
259,toxicology,How many elements are there for single bond molecules?,"SELECT COUNT(DISTINCT T.element) FROM ( SELECT DISTINCT T2.molecule_id, T1.element FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T3.bond_type = '-' ) AS T",True,False,False,['JOIN'],JOIN,
260,toxicology,Calculate the total atoms with triple-bond molecules containing the element phosphorus or bromine.,"SELECT COUNT(T1.atom_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T3.bond_type = '#' AND T1.element IN ('p', 'br')",True,False,False,['JOIN'],JOIN,
261,toxicology,Write down bond id for molecules that are carcinogenic.,SELECT DISTINCT T1.bond_id FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+',True,False,False,['JOIN'],JOIN,
262,toxicology,"Among the single bond molecule id, which molecules are not carcinogenic?",SELECT DISTINCT T1.molecule_id FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '-' AND T1.bond_type = '-',True,False,False,['JOIN'],JOIN,
263,toxicology,What is the composition of element chlorine in percentage among the single bond molecules?,"SELECT CAST(COUNT(CASE WHEN T.element = 'cl' THEN T.atom_id ELSE NULL END) AS REAL) * 100 / COUNT(T.atom_id) FROM ( SELECT T1.atom_id, T1.element FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T3.bond_type = '-' ) AS T",True,False,False,['JOIN'],JOIN,
264,toxicology,"What are the labels for TR000, TR001 and TR002?","SELECT molecule_id, T.label FROM molecule AS T WHERE T.molecule_id IN ('TR000', 'TR001', 'TR002')",False,False,False,[],NONE,
265,toxicology,List down the molecule id for non carcinogenic molecules.,SELECT T.molecule_id FROM molecule AS T WHERE T.label = '-',False,False,False,[],NONE,
266,toxicology,Calculate the total carcinogenic molecules for molecule id from TR000 to TR030.,SELECT COUNT(T.molecule_id) FROM molecule AS T WHERE T.molecule_id BETWEEN 'TR000' AND 'TR030' AND T.label = '+',False,False,False,[],NONE,
267,toxicology,List down the bond type for molecules from molecule id TR000 to TR050.,"SELECT T2.molecule_id, T2.bond_type FROM molecule AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.molecule_id BETWEEN 'TR000' AND 'TR050'",True,False,False,['JOIN'],JOIN,
268,toxicology,What are the elements for bond id TR001_10_11?,SELECT T2.element FROM connected AS T1 INNER JOIN atom AS T2 ON T1.atom_id = T2.atom_id WHERE T1.bond_id = 'TR001_10_11',True,False,False,['JOIN'],JOIN,
269,toxicology,How many bond id have element iodine?,SELECT COUNT(T3.bond_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T1.element = 'i',True,False,False,['JOIN'],JOIN,
270,toxicology,"Among the molecules with element Calcium, are they mostly carcinogenic or non carcinogenic?",SELECT T2.label FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 'ca' GROUP BY T2.label ORDER BY COUNT(T2.label) DESC LIMIT 1,True,True,False,"['JOIN', 'GROUP_BY']",JOIN+GROUP_BY,
271,toxicology,Does bond id TR001_1_8 have both element of chlorine and carbon?,"SELECT T2.bond_id, T2.atom_id2, T1.element AS flag_have_CaCl FROM atom AS T1 INNER JOIN connected AS T2 ON T2.atom_id = T1.atom_id WHERE T2.bond_id = 'TR001_1_8' AND (T1.element = 'c1' OR T1.element = 'c')",True,False,False,['JOIN'],JOIN,
272,toxicology,List down two molecule id of triple bond non carcinogenic molecules with element carbon.,SELECT DISTINCT T2.molecule_id FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T3.bond_type = '#' AND T1.element = 'c' AND T2.label = '-',True,False,False,['JOIN'],JOIN,
273,toxicology,What is the percentage of element chlorine in carcinogenic molecules?,SELECT CAST(COUNT( CASE WHEN T1.element = 'cl' THEN T1.element ELSE NULL END) AS REAL) * 100 / COUNT(T1.element) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+',True,False,False,['JOIN'],JOIN,
274,toxicology,List the toxicology elements associated with molecule TR001.,SELECT DISTINCT T.element FROM atom AS T WHERE T.molecule_id = 'TR001',False,False,False,[],NONE,
275,toxicology,Give me the molecule ID of the double bond type.,SELECT DISTINCT T.molecule_id FROM bond AS T WHERE T.bond_type = '=',False,False,False,[],NONE,
276,toxicology,Write down the atom IDs of the first and second atoms of triple bond type molecules.,"SELECT T2.atom_id, T2.atom_id2 FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T1.bond_type = '#'",True,False,False,['JOIN'],JOIN,
277,toxicology,What are the toxicology elements associated with bond ID TR000_1_2?,SELECT T1.element FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id = 'TR000_1_2',True,False,False,['JOIN'],JOIN,
278,toxicology,How many of the single bond type molecules are non-carcinogenic?,SELECT COUNT(DISTINCT T2.molecule_id) FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '-' AND T1.bond_type = '-',True,False,False,['JOIN'],JOIN,
279,toxicology,What is the label for bond ID TR001_10_11?,SELECT T2.label FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_id = 'TR001_10_11',True,False,False,['JOIN'],JOIN,
280,toxicology,Enumerate the bond ID of triple bond type molecules and tell me if they are carcinogenic or not.,"SELECT DISTINCT T1.bond_id, T2.label FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '#'",True,False,False,['JOIN'],JOIN,
281,toxicology,Tally the toxicology element of the 4th atom of each molecule that was carcinogenic.,"SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND SUBSTR(T1.atom_id, -1) = '4' AND LENGTH(T1.atom_id) = 7",True,False,False,['JOIN'],JOIN,
282,toxicology,What is the ratio of Hydrogen elements in molecule ID TR006? List the ratio with its label.,"WITH SubQuery AS (SELECT DISTINCT T1.atom_id, T1.element, T1.molecule_id, T2.label FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.molecule_id = 'TR006') SELECT CAST(COUNT(CASE WHEN element = 'h' THEN atom_id ELSE NULL END) AS REAL) / (CASE WHEN COUNT(atom_id) = 0 THEN NULL ELSE COUNT(atom_id) END) AS ratio, label FROM SubQuery GROUP BY label",True,True,False,"['JOIN', 'GROUP_BY']",JOIN+GROUP_BY,
283,toxicology,Identify whether the chemical compound that contains Calcium is carcinogenic.,SELECT T2.label AS flag_carcinogenic FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 'ca',True,False,False,['JOIN'],JOIN,
284,toxicology,Determine the bond type that is formed in the chemical compound containing element Carbon.,SELECT DISTINCT T2.bond_type FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 'c',True,False,False,['JOIN'],JOIN,
285,toxicology,Name chemical elements that form a bond TR001_10_11.,SELECT T1.element FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id INNER JOIN bond AS T3 ON T2.bond_id = T3.bond_id WHERE T3.bond_id = 'TR001_10_11',True,False,False,['JOIN'],JOIN,
286,toxicology,"Among all chemical compounds identified in the database, what percent of compounds form a triple-bond.",SELECT CAST(COUNT(CASE WHEN T.bond_type = '#' THEN T.bond_id ELSE NULL END) AS REAL) * 100 / COUNT(T.bond_id) FROM bond AS T,False,False,False,[],NONE,
287,toxicology,"Among all chemical compounds that contain molecule TR047, identify the percent that form a double-bond.",SELECT CAST(COUNT(CASE WHEN T.bond_type = '=' THEN T.bond_id ELSE NULL END) AS REAL) * 100 / COUNT(T.bond_id) FROM bond AS T WHERE T.molecule_id = 'TR047',False,False,False,[],NONE,
288,toxicology,Identify whether the molecule that contains atom TR001_1 is carcinogenic.,SELECT T2.label AS flag_carcinogenic FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.atom_id = 'TR001_1',True,False,False,['JOIN'],JOIN,
289,toxicology,Is molecule TR151 carcinogenic?,SELECT T.label FROM molecule AS T WHERE T.molecule_id = 'TR151',False,False,False,[],NONE,
290,toxicology,Which toxic element can be found in the molecule TR151?,SELECT DISTINCT T.element FROM atom AS T WHERE T.molecule_id = 'TR151',False,False,False,[],NONE,
291,toxicology,How many chemical compounds in the database are identified as carcinogenic.,SELECT COUNT(T.molecule_id) FROM molecule AS T WHERE T.label = '+',False,False,False,[],NONE,
292,toxicology,Identify the atoms belong to the molecule with ID between TR010 to TR050 that contain the element carbon.,SELECT T.atom_id FROM atom AS T WHERE T.molecule_id BETWEEN 'TR010' AND 'TR050' AND T.element = 'c',False,False,False,[],NONE,
293,toxicology,How many atoms belong to the molecule labeled with carcinogenic compounds?,SELECT COUNT(T1.atom_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+',True,False,False,['JOIN'],JOIN,
294,toxicology,Which bond ids are double-bond with carcinogenic compound?,SELECT T1.bond_id FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND T1.bond_type = '=',True,False,False,['JOIN'],JOIN,
295,toxicology,How many atoms belong to the molecule that element is hydrogen and labeled with carcinogenic compound?,SELECT COUNT(T1.atom_id) AS atomnums_h FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND T1.element = 'h',True,False,False,['JOIN'],JOIN,
